Dato,Retning,Hul,Liter,Maskine,Højde,Bemærkning,Person,Cleanup,Brush
22/06/2023,,9,"4,5",,,,Jonas,,
22/06/2023,,10,"7,5",,,,Jonas,,
22/06/2023,,11,7,,,,Jonas,,
22/06/2023,,12,9,,,,Jonas,,
22/06/2023,,13,6,,,,Jonas,,
22/06/2023,,14,"6,5",,,,Jonas,,
22/06/2023,,15,10,,,,Jonas,,
22/06/2023,,16,8,,,,Jonas,,
22/06/2023,,17,"7,5",,,,Jonas,,
22/06/2023,,18,4,,,,Jonas,,
22/06/2023,,19,5,,,,Jonas,,
22/06/2023,,20,1,,,,Jonas,,
23/06/2023,,1,8,,,,,Yes,
23/06/2023,,2,8,,,,,Yes,
23/06/2023,,3,9,,,,,Yes,
23/06/2023,,4,11,,,,,Yes,
23/06/2023,,5,11,,,,,Yes,
23/06/2023,,6,10,,,,,Yes,
23/06/2023,,7,10,,,,,Yes,
23/06/2023,,8,9,,,,,Yes,
23/06/2023,,9,10,,,,,Yes,
23/06/2023,,10,10,,,,,Yes,
23/06/2023,,11,7,,,,,Yes,
23/06/2023,,12,11,,,,,Yes,
23/06/2023,,13,9,,,,,Yes,
23/06/2023,,14,8,,,,,Yes,
23/06/2023,,15,10,,,,,Yes,
23/06/2023,,16,8,,,,,Yes,
